 ra|dec|name|proper_motion_ra|proper_motion_ra_unc|proper_motion_dec|proper_motion_dec_unc|publication_id|V_tan|V_tan_unc|source_id
 209.17271|+43.71632|2MASS J13564148+4342587|-0.4600| 0.0700| 0.0700| 0.0700|236| 34.0| 7.0|308
 209.30154|+14.47772|2MASS J13571237+1428398| 0.0690| 0.0520|-0.0060| 0.0530|219| 10.0| 9.0|530
 209.31236|-14.64808|2MASS J13571497-1438529|-0.0380| 0.0100|-0.1060| 0.0090|209| 14.0| 2.0|573
 209.71954|+37.78694|SDSS J135852.68+374711.9 |-0.0100| 0.0130|-0.4110| 0.0160|219| 51.0|24.0|1400
 209.85008|+47.47865|SDSS J135923.99+472843.2 |-0.1440| 0.0100| 0.0340| 0.0140|219| 20.0| 2.0|
 209.97959|-40.58293|2MASS J13595510-4034582| 0.0380| 0.0110|-0.4850| 0.0150|219| 49.0| 4.0|785
 210.09660|+43.63950|SDSS J140023.12+433822.3 |-0.2350| 0.0200| 0.0120| 0.0280|219| 26.0| 8.0|
 210.59312| +6.81331|2MASS J14022235+0648479| 0.0560| 0.0210|-0.0060| 0.0210|219|8.0| 3.0|786
 210.63230| +1.80836|SDSS J140231.75+014830.3 |-0.2320| 0.0140| 0.0080| 0.0110|210| 54.0| 5.0|
 210.73183| +8.01537|SDSS J140255.66+080055.2 | 0.0650| 0.0210|-0.0980| 0.0220|219| 16.0| 3.0|
 210.84282|+30.13186|2MASS J14032232+3007547|-0.8100| 0.0300| 0.0000| 0.0700|236| 73.0| 6.0|
 211.17362| +2.59726|SDSS J140441.68+023550.1 | 0.0540| 0.0170|-0.2480| 0.0130|210| 63.0| 5.0|
 211.18723|+46.57494|2MASS J14044495+4634297|-0.2310| 0.0300| 0.1430| 0.0260|210| 43.0| 7.0|818
 211.20600|-31.99248|2MASS J14044941-3159329|-0.3490| 0.0300| 0.0320| 0.0030|232| 25.0| 3.0|1413
 211.97337|+12.68608|2MASS J14075361+1241099|-0.3120| 0.0190| 0.0820| 0.0190|210| 33.0| 4.0|753
 212.26294|-33.96569|2MASS J14090310-3357565| 0.0890| 0.0120| 0.0470| 0.0140|219| 12.0| 2.0|141
 212.82239|+39.61007|2MASSW J1411175+393636 |-0.9110| 0.0150| 0.1370| 0.0160|210|138.0|10.0|
 212.83879|-21.33059|2MASS J14112131-2119503| 0.0000| 0.2000| 0.1000| 0.2000|225|7.0| 7.0|814
 213.09451|+23.90300|2MASS J14122268+2354108|-0.1750| 0.0360| 0.0680| 0.0390|219| 26.0| 6.0|816
 213.10204|+16.55319|2MASSW J1412244+163312 | 0.0290| 0.0160|-0.0800| 0.0300|210| 10.0| 4.0|
 213.49916| -4.96343|2MASS J14135981-0457483|-0.1900| 0.0500|-0.0600| 0.0400|209| 27.0| 7.0|815
 213.87514|+57.40825|SDSS J141530.05+572428.7 | 0.0430| 0.0130|-0.3450| 0.0250|219| 36.0|12.0|1401
 214.24948|+50.10716|SDSS J141659.78+500626.4 |-0.2970| 0.0130| 0.1880| 0.0210|219| 74.0|51.0|1366
 214.91113|-31.61442|2MASS J14193867-3136519|-0.0410| 0.0180| 0.0280| 0.0210|219|8.0| 3.0|374
 215.32793|-16.30562|2MASS J14211873-1618201|-0.2300| 0.0200|-0.0700| 0.0200|209| 26.0| 3.0|703
 215.38089|+18.46127|2MASSW J1421314+182740 |-0.7500| 0.0400|-0.1700| 0.0300|236| 73.0| 6.0|
 215.61333|+22.26598|SDSS J142227.25+221557.1 | 0.0470| 0.0190|-0.0540| 0.0200|219| 14.0| 6.0|
 216.16289| +9.28623|GD 165B|-0.2182| |-0.1260| |246| 37.7| 3.0|
 216.27064|+71.03597|LSR 1425+7102|-0.6200| |-0.1700| |247|197.0||
 216.36655|-36.83975|DENIS-P J142527.97-365023.4|-0.2680| 0.0150|-0.4730| 0.0190|219| 24.0| 2.0|576
 216.63177|+15.95030|2MASS J14263161+1557012| 0.1080| 0.0190|-0.0560| 0.0190|229| 15.0| 4.0|389
 217.13051|+59.39317|2MASS J14283132+5923354|-0.2500| 0.1700|-0.0900| 0.1500|236| 28.0|18.0|628
 217.18015|+33.17757|2MASS J14284323+3310391|-0.3457| 0.0002|-0.7079| 0.0004|233| 41.2| 0.6|919
 217.46167|+33.50306|IRAC J142950.8+333011|-0.0030| |-0.1000| |238| 15.0| 8.0|
 217.68154|+29.26128|2MASSI J1430435+291540 |-0.1850| 0.0200| 0.1420| 0.0160|210| 33.0| 3.0|155
 217.73287| +0.23120|SDSS J143055.90+001352.1 | 0.0580| 0.0240|-0.0360| 0.0120|210| 26.0| 9.0|
 218.04896| -0.98351|SDSS J143211.74-005900.8 |-0.0090| 0.0200|-0.0320| 0.0170|210|9.0| 5.0|
 218.74231|-23.59920|2MASS J14345819-2335572|-0.3060| 0.0300| 0.0510| 0.0050|211| 40.0| 6.0|150
 218.82167| -0.77028|SDSS J143517.20-004612.9 | 0.0220| 0.0090| 0.0100| 0.0060|244| 12.0|10.0|
 218.89884| -0.72977|SDSS J143535.72-004347.0 | 0.0220| 0.0050|-0.1050| 0.0090|244| 32.0|13.0|587
 219.04068|+29.00974|2MASS J14360977+2900350|-0.0980| 0.0180| 0.0680| 0.0210|219| 14.0| 3.0|27
 219.53446|+64.14343|2MASS J14380829+6408363| 0.6400| 0.0600|-0.2000| 0.0400|236| 58.0| 6.0|
 219.68923|+55.98704|2MASS J14384542+5559134|-0.0620| 0.0150|-0.0590| 0.0270|219| 12.0| 4.0|21
 219.72917|-13.15287|2MASSW J1438549-130910 | 0.1610| 0.0220|-0.0170| 0.0160|210| 28.0| 6.0|
 219.75129|+18.66085|LHS377 |-0.0300| |-1.2200| |247|208.0||
 219.86722|+19.48777|2MASSW J1439284+192915 |-1.2298| 0.0007| 0.4070| 0.0020|215| 88.2| 0.6|7
 219.88929| +3.29975|SDSS J143933.44+031759.2 |-0.0060| 0.0210| 0.0190| 0.0160|210|6.0| 5.0|
 219.92049|+18.44358|2MASSW J1439409+182637 |-0.0130| 0.0180| 0.0010| 0.0250|210|4.0| 6.0|
 220.00751| +0.36269|SDSSp J144001.82+002145.8|-0.0740| 0.0180| 0.0370| 0.0180|210| 24.0| 5.0|
 220.06758| +0.44417|SDSS J144016.20+002638.9 |-0.0060| 0.0210| 0.0040| 0.0210|219|2.0| 5.0|
 220.09547|+13.65623|2MASS J14402293+1339230|-0.1460| 0.0100|-0.3400| 0.0100|228| 28.0| 2.0|650
