source_id,ra,dec,name,proper_motion_ra,proper_motion_ra_unc,proper_motion_dec,proper_motion_dec_unc,publication_id
20,165.54125,-34.50986,2MASS J11020983-3430355,-0.033,0.012,-0.024,0.015,290
,165.64062,-23.99622,2MASSW J1102337-235945,-0.238,0.019,0.075,0.020,290
266,166.00529,+19.98936,2MASSI J1104012+195921,0.080,0.022,0.154,0.023,290
513,166.54987,+27.90625,2MASS J11061197+2754225,-0.229,0.019,-0.448,0.021,290
,167.63837,+54.40078,2MASS J11103321+5424028,-0.066,0.009,-0.299,0.016,290
,168.20458,-20.74208,2MASS J11124910-2044315,0.001,0.014,0.023,0.015,290
1909,168.33371,+34.51617,SDSS J111320.16+343057.9,0.108,0.040,-0.025,0.049,290
1346,168.71387,-26.30653,2MASS J11145133-2618235,-3.011,0.015,-0.391,0.016,290
777,169.40379,+36.15997,2MASSI J1117369+360936,0.001,0.019,-0.016,0.023,290
,170.32742,+43.54622,SDSS J112118.57+433246.5,-0.057,0.024,0.026,0.033,290
,170.65100,-39.26817,2MASSW J1122362-391605,0.073,0.012,-0.180,0.015,290
23,170.90021,+12.68950,2MASS J11233605+1241222,-0.036,0.017,0.009,0.017,290
26,171.02029,+38.13483,2MASS J11240487+3808054,0.130,0.021,-0.019,0.027,290
,171.56367,+1.34669,SDSS J112615.25+012048.2,-0.131,0.022,0.042,0.022,290
645,172.69837,-22.17597,2MASS J11304761-2210335,-0.126,0.017,-0.232,0.018,290
139,173.72888,+0.38169,2MASS J11345493+0022541,0.401,0.021,-0.343,0.021,290
,174.63783,+67.67786,SDSS J113833.10+674040.3,0.024,0.014,-0.127,0.037,290
,174.79612,+8.68669,2MASS J11391107+0841121,0.089,0.021,-0.025,0.022,290
140,174.96317,-31.98928,2MASS J11395113-3159214,-0.071,0.014,-0.017,0.016,290
,177.22612,-25.74456,2MASS J11485427-2544404,0.147,0.018,0.047,0.020,290
659,178.17775,+24.63553,2MASS J11524266+2438079,-0.451,0.032,0.036,0.035,290
,178.64163,+1.59847,2MASS J11543399+0135545,0.121,0.022,-0.043,0.022,290
528,178.67596,-34.01083,2MASS J11544223-3400390,-0.161,0.013,0.004,0.015,290
529,178.91467,-37.45972,2MASSW J1155395-372735,0.050,0.012,-0.767,0.015,290
1349,178.97454,+5.99936,SDSS J115553.86+055957.5,-0.406,0.022,-0.026,0.022,290
399,179.51121,-25.76025,2MASS J11580269-2545369,-0.102,0.019,-0.167,0.021,290
396,179.60350,+13.91267,2MASS J11582484+1354456,-0.116,0.017,0.168,0.018,290
160,180.60683,-6.48406,2MASS J12022564-0629026,0.096,0.019,-0.075,0.019,290
161,180.65275,-6.06817,2MASS J12023666-0604054,0.088,0.018,-0.034,0.018,290
1405,181.51033,+28.22481,SDSS J120602.51+281328.7,0.047,0.014,-0.105,0.016,290
526,181.76558,-31.85828,2MASS J12070374-3151298,-0.232,0.016,-0.074,0.019,290
,181.90850,-39.15139,2MASS J12073804-3909050,-0.142,0.011,0.031,0.015,290
1406,182.48387,-10.06689,2MASS J12095613-1004008,0.250,0.019,-0.390,0.019,290
316,183.14121,+2.10778,2MASS J12123389+0206280,0.065,0.021,-0.141,0.021,290
179,183.26400,-4.54547,2MASSI J1213033-043243,-0.388,0.020,-0.013,0.020,290
1419,183.67037,+63.27872,SDSS J121440.95+631643.4,0.165,0.030,-0.021,0.068,290
1353,183.93467,-34.34975,2MASS J12154432-3420591,-0.212,0.017,-0.310,0.021,290
,183.97283,+0.84717,2MASS J12155348+0050498,0.220,0.020,-0.398,0.020,290
812,184.09004,+44.94278,2MASS J12162161+4456340,-0.035,0.014,-0.004,0.019,290
,184.24658,+30.05150,SDSS J121659.17+300306.3,-0.021,0.017,0.115,0.019,290
808,184.37229,+0.59239,2MASS J12172935+0035326,0.078,0.026,-0.001,0.026,290
,184.74821,-5.84117,2MASS J12185957-0550282,-0.279,0.019,-0.036,0.019,290
,184.96483,+31.48047,SDSS J121951.45+312849.4,-0.250,0.026,-0.017,0.031,290
523,185.46108,-8.72214,2MASS J12215066-0843197,-0.192,0.019,0.015,0.019,290
270,186.81437,-6.61272,2MASS J12271545-0636458,-0.106,0.019,-0.085,0.019,290
,187.23075,+0.84556,SDSS J122855.38+005044.1,-0.041,0.021,-0.038,0.021,290
801,187.83921,+49.98983,2MASS J12312141+4959234,-0.053,0.019,-0.022,0.030,290
